left_upper_long,left_upper_lati,left_lower_long,left_lower_lati,right_upper_long,right_upper_lati,right_lower_long,right_lower_lati
36.022171,-78.009352,36.022171,-78.00885733333334,36.022170571428575,-78.009352,36.022170571428575,-78.00885733333334
36.022170571428575,-78.009352,36.022170571428575,-78.00885733333334,36.02217014285714,-78.009352,36.02217014285714,-78.00885733333334
36.02217014285714,-78.009352,36.02217014285714,-78.00885733333334,36.02216971428572,-78.009352,36.02216971428572,-78.00885733333334
36.02216971428572,-78.009352,36.02216971428572,-78.00885733333334,36.022169285714284,-78.009352,36.022169285714284,-78.00885733333334
36.022169285714284,-78.009352,36.022169285714284,-78.00885733333334,36.02216885714286,-78.009352,36.02216885714286,-78.00885733333334
36.02216885714286,-78.009352,36.02216885714286,-78.00885733333334,36.022168428571426,-78.009352,36.022168428571426,-78.00885733333334
36.022168428571426,-78.009352,36.022168428571426,-78.00885733333334,36.022168,-78.009352,36.022168,-78.00885733333334
36.022168,-78.009352,36.022168,-78.00885733333334,36.022167571428575,-78.009352,36.022167571428575,-78.00885733333334
36.022167571428575,-78.009352,36.022167571428575,-78.00885733333334,36.02216714285714,-78.009352,36.02216714285714,-78.00885733333334
36.02216714285714,-78.009352,36.02216714285714,-78.00885733333334,36.02216671428572,-78.009352,36.02216671428572,-78.00885733333334
36.02216671428572,-78.009352,36.02216671428572,-78.00885733333334,36.022166285714285,-78.009352,36.022166285714285,-78.00885733333334
36.022166285714285,-78.009352,36.022166285714285,-78.00885733333334,36.02216585714286,-78.009352,36.02216585714286,-78.00885733333334
36.02216585714286,-78.009352,36.02216585714286,-78.00885733333334,36.02216542857143,-78.009352,36.02216542857143,-78.00885733333334
36.02216542857143,-78.009352,36.02216542857143,-78.00885733333334,36.022165,-78.009352,36.022165,-78.00885733333334
36.022165,-78.009352,36.022165,-78.00885733333334,36.02216457142857,-78.009352,36.02216457142857,-78.00885733333334
36.02216457142857,-78.009352,36.02216457142857,-78.00885733333334,36.02216414285714,-78.009352,36.02216414285714,-78.00885733333334
36.02216414285714,-78.009352,36.02216414285714,-78.00885733333334,36.02216371428572,-78.009352,36.02216371428572,-78.00885733333334
